record_id,competition_id,team_id,qualification_type,qualification_name,development_fee_wan,development_cycle,development_cycle_unit,remaining_time,remaining_time_unit,is_complete,completion_year,completion_quarter,source_id,source_path,source_sheet,source_row
f73c20040bd0e1e5,historical_600_unknown_rule,ZY02,market,本地,10.0,1.0,year,0.0,,True,1.0,4.0,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,研发认证,4
63d5f63fe6f9370c,historical_600_unknown_rule,ZY02,market,区域,10.0,1.0,year,0.0,,True,1.0,4.0,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,研发认证,5
f40e5a211364f213,historical_600_unknown_rule,ZY02,market,国内,10.0,2.0,year,0.0,,True,2.0,4.0,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,研发认证,6
c998bc83d6e75e9d,historical_600_unknown_rule,ZY02,product,P2,10.0,3.0,quarter,0.0,,True,1.0,3.0,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,研发认证,4
1b4a6fffde3dbb29,historical_600_unknown_rule,ZY02,product,P3,10.0,4.0,quarter,0.0,,True,1.0,4.0,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,研发认证,5
62b775e6660bf976,historical_600_unknown_rule,ZY02,iso,ISO9000,10.0,2.0,year,0.0,,True,2.0,4.0,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,研发认证,4
0780e4d553758f94,historical_600_unknown_rule,ZY03,market,本地,10.0,1.0,year,0.0,,True,1.0,4.0,src_e3cd51a93aa1,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY03.xls,研发认证,4
a6e129b9caf4050a,historical_600_unknown_rule,ZY03,market,区域,10.0,1.0,year,0.0,,True,1.0,4.0,src_e3cd51a93aa1,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY03.xls,研发认证,5
fb57430b6c6a70dd,historical_600_unknown_rule,ZY03,market,国内,10.0,2.0,year,0.0,,True,2.0,4.0,src_e3cd51a93aa1,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY03.xls,研发认证,6
76d686b2f78a2134,historical_600_unknown_rule,ZY03,market,亚洲,10.0,3.0,year,0.0,,True,3.0,4.0,src_e3cd51a93aa1,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY03.xls,研发认证,7
b9c44ff5628fe0ff,historical_600_unknown_rule,ZY03,market,国际,10.0,4.0,year,0.0,,True,4.0,4.0,src_e3cd51a93aa1,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY03.xls,研发认证,8
b0612ce7e22b1468,historical_600_unknown_rule,ZY03,product,P2,10.0,3.0,quarter,0.0,,True,1.0,3.0,src_e3cd51a93aa1,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY03.xls,研发认证,4
