gap_id,rule_pack_id,competition_id,rule_version,domain,title,description,severity,status,evidence_status,source_id,source_path
phase_sequence,zhejiang_8th_rules_v1,zhejiang_8th_710,zhejiang_8th_rules_v1,流程,经营阶段和季度结算顺序,题面只有参数表，没有定义动作开放阶段及季度结算先后关系。,blocker,unresolved,not_explicit_in_available_rule_source,src_436ffc3299d8,origin data/测试数据/试题题面01.docx
loan_limit,zhejiang_8th_rules_v1,zhejiang_8th_710,zhejiang_8th_rules_v1,融资,贷款额度与申请资格,缺少长短贷额度上限、申请时点、续贷及特别贷款条件。,blocker,unresolved,not_explicit_in_available_rule_source,src_436ffc3299d8,origin data/测试数据/试题题面01.docx
loan_settlement,zhejiang_8th_rules_v1,zhejiang_8th_710,zhejiang_8th_rules_v1,融资,贷款计息与到期结算,缺少本金、利息的精确扣款时点和逾期处理。,blocker,unresolved,not_explicit_in_available_rule_source,src_436ffc3299d8,origin data/测试数据/试题题面01.docx
discount_semantics,zhejiang_8th_rules_v1,zhejiang_8th_710,zhejiang_8th_rules_v1,融资,贴现计算语义,已知 1–2 季为 8%、3–4 季为 11%，但缺少计费基数和入账时点说明。,blocker,unresolved,not_explicit_in_available_rule_source,src_436ffc3299d8,origin data/测试数据/试题题面01.docx
advertising_order,zhejiang_8th_rules_v1,zhejiang_8th_710,zhejiang_8th_rules_v1,销售,广告、询单、选单和竞单机制,缺少广告排名、订单分配、竞单费用及平局处理规则。,blocker,unresolved,not_explicit_in_available_rule_source,src_436ffc3299d8,origin data/测试数据/试题题面01.docx
material_receipt,zhejiang_8th_rules_v1,zhejiang_8th_710,zhejiang_8th_rules_v1,采购,原料下单、到货与付款顺序,提前期参数已知，但付款和库存入账时点未由题面确认。,blocker,unresolved,not_explicit_in_available_rule_source,src_436ffc3299d8,origin data/测试数据/试题题面01.docx
production_transition,zhejiang_8th_rules_v1,zhejiang_8th_710,zhejiang_8th_rules_v1,生产,生产与转产状态转移,缺少开工、完工、停工、转产和在制品入账的完整状态机。,blocker,unresolved,not_explicit_in_available_rule_source,src_436ffc3299d8,origin data/测试数据/试题题面01.docx
delivery_receivable,zhejiang_8th_rules_v1,zhejiang_8th_710,zhejiang_8th_rules_v1,销售,交货与应收账款转移,缺少交货期、账期、收入确认和到账的完整时点规则。,blocker,unresolved,not_explicit_in_available_rule_source,src_436ffc3299d8,origin data/测试数据/试题题面01.docx
emergency_purchase,zhejiang_8th_rules_v1,zhejiang_8th_710,zhejiang_8th_rules_v1,采购,紧急采购价格和限制,历史中存在紧急采购，但题面未给出价格倍率与使用约束。,major,unresolved,not_explicit_in_available_rule_source,src_436ffc3299d8,origin data/测试数据/试题题面01.docx
default_penalty,zhejiang_8th_rules_v1,zhejiang_8th_710,zhejiang_8th_rules_v1,风险,违约判定和处罚,历史中存在违约处罚，但题面未给出触发条件与公式。,blocker,unresolved,not_explicit_in_available_rule_source,src_436ffc3299d8,origin data/测试数据/试题题面01.docx
accounting_close,zhejiang_8th_rules_v1,zhejiang_8th_710,zhejiang_8th_rules_v1,会计,折旧、税费和年末结转,参数表不能确定会计确认顺序、所得税口径和损失处理。,blocker,unresolved,not_explicit_in_available_rule_source,src_436ffc3299d8,origin data/测试数据/试题题面01.docx
bankruptcy_injection,zhejiang_8th_rules_v1,zhejiang_8th_710,zhejiang_8th_rules_v1,风险,现金不足、注资和破产,缺少现金断裂后的特别贷款、注资、破产及排名处理规则。,blocker,unresolved,not_explicit_in_available_rule_source,src_436ffc3299d8,origin data/测试数据/试题题面01.docx
final_scoring,zhejiang_8th_rules_v1,zhejiang_8th_710,zhejiang_8th_rules_v1,评价,最终评分和排名,题面包含部分资产分值，但缺少完整综合评分公式。,major,unresolved,not_explicit_in_available_rule_source,src_436ffc3299d8,origin data/测试数据/试题题面01.docx
order_binding,zhejiang_8th_rules_v1,zhejiang_8th_710,zhejiang_8th_rules_v1,数据,订单目录比赛归属,581 条订单尚未确认属于 710 万元题面还是历史 600 万元比赛。,blocker,unresolved,not_explicit_in_available_rule_source,src_436ffc3299d8,origin data/测试数据/试题题面01.docx
