table_name,table_description,column_name,dtype,nullable,unit,description
source_manifest,源文件清单、哈希、批次归属和重复关系,source_id,str,False,,源文件稳定标识
source_manifest,源文件清单、哈希、批次归属和重复关系,relative_path,str,False,,relative path
source_manifest,源文件清单、哈希、批次归属和重复关系,file_name,str,False,,file name
source_manifest,源文件清单、哈希、批次归属和重复关系,extension,str,False,,extension
source_manifest,源文件清单、哈希、批次归属和重复关系,source_type,str,False,,source type
source_manifest,源文件清单、哈希、批次归属和重复关系,size_bytes,int64,False,,size bytes
source_manifest,源文件清单、哈希、批次归属和重复关系,sha256,str,False,,sha256
source_manifest,源文件清单、哈希、批次归属和重复关系,competition_id,str,False,,隔离后的比赛或资料批次标识
source_manifest,源文件清单、哈希、批次归属和重复关系,rule_version,str,True,,规则版本；unknown 表示尚未确认
source_manifest,源文件清单、哈希、批次归属和重复关系,binding_status,str,False,,binding status
source_manifest,源文件清单、哈希、批次归属和重复关系,duplicate_of_source_id,object,True,,duplicate of source id
source_manifest,源文件清单、哈希、批次归属和重复关系,modified_at,str,False,,modified at
workbook_inventory,所有 Excel 工作簿及工作表结构,source_id,str,False,,源文件稳定标识
workbook_inventory,所有 Excel 工作簿及工作表结构,source_path,str,False,,相对项目根目录的源文件路径
workbook_inventory,所有 Excel 工作簿及工作表结构,workbook_format,str,False,,workbook format
workbook_inventory,所有 Excel 工作簿及工作表结构,sheet_name,str,False,,sheet name
workbook_inventory,所有 Excel 工作簿及工作表结构,row_count,int64,False,,row count
workbook_inventory,所有 Excel 工作簿及工作表结构,column_count,int64,False,,column count
workbook_inventory,所有 Excel 工作簿及工作表结构,merged_range_count,int64,False,,merged range count
workbook_cells,所有 Excel 非空单元格的保真长表,source_id,str,False,,源文件稳定标识
workbook_cells,所有 Excel 非空单元格的保真长表,source_path,str,False,,相对项目根目录的源文件路径
workbook_cells,所有 Excel 非空单元格的保真长表,sheet_name,str,False,,sheet name
workbook_cells,所有 Excel 非空单元格的保真长表,source_cell,str,False,,源 Excel 单元格坐标
workbook_cells,所有 Excel 非空单元格的保真长表,source_row,int64,False,,源文件一基行号
workbook_cells,所有 Excel 非空单元格的保真长表,source_column,int64,False,,source column
workbook_cells,所有 Excel 非空单元格的保真长表,value_type,str,False,,value type
workbook_cells,所有 Excel 非空单元格的保真长表,raw_value,str,False,,raw value
workbook_cells,所有 Excel 非空单元格的保真长表,formula,str,True,,formula
competition_rules,题面级比赛元数据,competition_id,str,False,,隔离后的比赛或资料批次标识
competition_rules,题面级比赛元数据,rule_version,str,False,,规则版本；unknown 表示尚未确认
competition_rules,题面级比赛元数据,competition_name,str,False,,competition name
competition_rules,题面级比赛元数据,initial_capital_wan,float64,False,万元,initial capital wan
competition_rules,题面级比赛元数据,management_fee_per_quarter_wan,float64,False,万元,management fee per quarter wan
competition_rules,题面级比赛元数据,source_id,str,False,,源文件稳定标识
competition_rules,题面级比赛元数据,source_path,str,False,,相对项目根目录的源文件路径
rule_financing,融资与贴现规则,competition_id,str,False,,隔离后的比赛或资料批次标识
rule_financing,融资与贴现规则,rule_version,str,False,,规则版本；unknown 表示尚未确认
rule_financing,融资与贴现规则,finance_type,str,False,,finance type
rule_financing,融资与贴现规则,annual_rate,float64,False,比例,annual rate
rule_financing,融资与贴现规则,max_term_years,float64,True,,max term years
rule_financing,融资与贴现规则,raw_rule,str,False,,raw rule
rule_financing,融资与贴现规则,source_id,str,False,,源文件稳定标识
rule_financing,融资与贴现规则,source_path,str,False,,相对项目根目录的源文件路径
rule_financing,融资与贴现规则,source_table,int64,False,,source table
rule_financing,融资与贴现规则,source_row,int64,False,,源文件一基行号
rule_financing_terms,可审计的融资与贴现分档条款,term_id,str,False,,term id
rule_financing_terms,可审计的融资与贴现分档条款,competition_id,str,False,,隔离后的比赛或资料批次标识
rule_financing_terms,可审计的融资与贴现分档条款,rule_version,str,False,,规则版本；unknown 表示尚未确认
rule_financing_terms,可审计的融资与贴现分档条款,finance_type,str,False,,finance type
rule_financing_terms,可审计的融资与贴现分档条款,rate,float64,False,,rate
rule_financing_terms,可审计的融资与贴现分档条款,rate_basis,str,False,,rate basis
rule_financing_terms,可审计的融资与贴现分档条款,term_min,float64,True,,term min
rule_financing_terms,可审计的融资与贴现分档条款,term_max,float64,True,,term max
rule_financing_terms,可审计的融资与贴现分档条款,term_unit,str,True,,term unit
rule_financing_terms,可审计的融资与贴现分档条款,semantic_status,str,False,,semantic status
rule_financing_terms,可审计的融资与贴现分档条款,source_id,str,False,,源文件稳定标识
rule_financing_terms,可审计的融资与贴现分档条款,source_path,str,False,,相对项目根目录的源文件路径
rule_financing_terms,可审计的融资与贴现分档条款,source_table,int64,False,,source table
rule_financing_terms,可审计的融资与贴现分档条款,source_row,int64,False,,源文件一基行号
rule_factories,厂房规则,factory_id,int64,False,,factory id
rule_factories,厂房规则,factory_name,str,False,,factory name
rule_factories,厂房规则,purchase_price_wan,int64,False,万元,purchase price wan
rule_factories,厂房规则,annual_rent_wan,int64,False,万元,annual rent wan
rule_factories,厂房规则,sale_price_wan,int64,False,万元,sale price wan
rule_factories,厂房规则,line_capacity,int64,False,数值,line capacity
rule_factories,厂房规则,usage_limit,int64,False,数值,usage limit
rule_factories,厂房规则,score,int64,False,数值,score
rule_factories,厂房规则,competition_id,str,False,,隔离后的比赛或资料批次标识
rule_factories,厂房规则,rule_version,str,False,,规则版本；unknown 表示尚未确认
rule_factories,厂房规则,source_id,str,False,,源文件稳定标识
rule_factories,厂房规则,source_path,str,False,,相对项目根目录的源文件路径
rule_factories,厂房规则,source_table,int64,False,,source table
rule_factories,厂房规则,source_row,int64,False,,源文件一基行号
rule_production_lines,生产线规则,line_type_id,int64,False,,line type id
rule_production_lines,生产线规则,line_type_name,str,False,,line type name
rule_production_lines,生产线规则,investment_per_quarter_wan,int64,False,万元,investment per quarter wan
rule_production_lines,生产线规则,installation_quarters,int64,False,季度,installation quarters
rule_production_lines,生产线规则,production_cycle_quarters,int64,False,季度,production cycle quarters
rule_production_lines,生产线规则,conversion_fee_per_quarter_wan,int64,False,万元,conversion fee per quarter wan
rule_production_lines,生产线规则,conversion_cycle_quarters,int64,False,季度,conversion cycle quarters
rule_production_lines,生产线规则,maintenance_fee_wan,int64,False,万元,maintenance fee wan
rule_production_lines,生产线规则,residual_value_wan,int64,False,万元,residual value wan
rule_production_lines,生产线规则,depreciation_fee_wan,int64,False,万元,depreciation fee wan
rule_production_lines,生产线规则,depreciation_years,int64,False,,depreciation years
rule_production_lines,生产线规则,score,int64,False,数值,score
rule_production_lines,生产线规则,competition_id,str,False,,隔离后的比赛或资料批次标识
rule_production_lines,生产线规则,rule_version,str,False,,规则版本；unknown 表示尚未确认
rule_production_lines,生产线规则,source_id,str,False,,源文件稳定标识
rule_production_lines,生产线规则,source_path,str,False,,相对项目根目录的源文件路径
rule_production_lines,生产线规则,source_table,int64,False,,source table
rule_production_lines,生产线规则,source_row,int64,False,,源文件一基行号
rule_markets,市场开拓规则,market_id,int64,False,,market id
rule_markets,市场开拓规则,market_name,str,False,,market name
rule_markets,市场开拓规则,annual_development_fee_wan,int64,False,万元,annual development fee wan
rule_markets,市场开拓规则,development_years,int64,False,,development years
rule_markets,市场开拓规则,score,int64,False,数值,score
rule_markets,市场开拓规则,competition_id,str,False,,隔离后的比赛或资料批次标识
rule_markets,市场开拓规则,rule_version,str,False,,规则版本；unknown 表示尚未确认
rule_markets,市场开拓规则,source_id,str,False,,源文件稳定标识
rule_markets,市场开拓规则,source_path,str,False,,相对项目根目录的源文件路径
rule_markets,市场开拓规则,source_table,int64,False,,source table
rule_markets,市场开拓规则,source_row,int64,False,,源文件一基行号
rule_iso,ISO 认证规则,iso_id,int64,False,,iso id
rule_iso,ISO 认证规则,iso_name,str,False,,iso name
rule_iso,ISO 认证规则,annual_development_fee_wan,int64,False,万元,annual development fee wan
rule_iso,ISO 认证规则,development_years,int64,False,,development years
rule_iso,ISO 认证规则,score,int64,False,数值,score
rule_iso,ISO 认证规则,competition_id,str,False,,隔离后的比赛或资料批次标识
rule_iso,ISO 认证规则,rule_version,str,False,,规则版本；unknown 表示尚未确认
rule_iso,ISO 认证规则,source_id,str,False,,源文件稳定标识
rule_iso,ISO 认证规则,source_path,str,False,,相对项目根目录的源文件路径
rule_iso,ISO 认证规则,source_table,int64,False,,source table
rule_iso,ISO 认证规则,source_row,int64,False,,源文件一基行号
rule_materials,原材料规则,material_id,int64,False,,material id
rule_materials,原材料规则,material_name,str,False,,material name
rule_materials,原材料规则,unit_purchase_price_wan,int64,False,万元,unit purchase price wan
rule_materials,原材料规则,lead_time_quarters,int64,False,季度,lead time quarters
rule_materials,原材料规则,competition_id,str,False,,隔离后的比赛或资料批次标识
rule_materials,原材料规则,rule_version,str,False,,规则版本；unknown 表示尚未确认
rule_materials,原材料规则,source_id,str,False,,源文件稳定标识
rule_materials,原材料规则,source_path,str,False,,相对项目根目录的源文件路径
rule_materials,原材料规则,source_table,int64,False,,source table
rule_materials,原材料规则,source_row,int64,False,,源文件一基行号
rule_products,产品研发及成本规则,product_id,int64,False,,product id
rule_products,产品研发及成本规则,product_name,str,False,,product name
rule_products,产品研发及成本规则,processing_fee_wan,int64,False,万元,processing fee wan
rule_products,产品研发及成本规则,development_fee_per_quarter_wan,int64,False,万元,development fee per quarter wan
rule_products,产品研发及成本规则,development_quarters,int64,False,季度,development quarters
rule_products,产品研发及成本规则,direct_cost_wan,int64,False,万元,direct cost wan
rule_products,产品研发及成本规则,score,int64,False,数值,score
rule_products,产品研发及成本规则,competition_id,str,False,,隔离后的比赛或资料批次标识
rule_products,产品研发及成本规则,rule_version,str,False,,规则版本；unknown 表示尚未确认
rule_products,产品研发及成本规则,source_id,str,False,,源文件稳定标识
rule_products,产品研发及成本规则,source_path,str,False,,相对项目根目录的源文件路径
rule_products,产品研发及成本规则,source_table,int64,False,,source table
rule_products,产品研发及成本规则,source_row,int64,False,,源文件一基行号
rule_bom,产品物料清单,product_name,str,False,,product name
rule_bom,产品物料清单,component_product_name,str,True,,component product name
