canonical_action,category,description,control_type,is_agent_candidate,historical_observation_count,test_observation_count,semantic_status,executable_status
capital_injection,finance,股东注资,exception_intervention,False,15,0,observed_not_rule_verified,blocked_until_rule_confirmed
administrative_fee,period_close,支付行政管理费,automatic_settlement,False,300,20,observed_not_rule_verified,blocked_until_rule_confirmed
material_order,procurement,订购原材料,direct_decision,True,228,0,observed_not_rule_verified,blocked_until_rule_confirmed
material_receipt_payment,procurement,原材料到货并付款,committed_settlement,False,223,8,observed_not_rule_verified,blocked_until_rule_confirmed
production,production,投入加工费并开始或完成生产,direct_decision,True,221,9,observed_not_rule_verified,blocked_until_rule_confirmed
production_line_order,capacity,订购生产线,direct_decision,True,109,3,observed_not_rule_verified,blocked_until_rule_confirmed
production_line_investment,capacity,支付在建生产线投资,committed_settlement,False,58,0,observed_not_rule_verified,blocked_until_rule_confirmed
production_line_conversion,capacity,生产线转产,direct_decision,True,3,0,observed_not_rule_verified,blocked_until_rule_confirmed
product_development,qualification,产品研发投入,direct_decision,True,95,4,observed_not_rule_verified,blocked_until_rule_confirmed
market_development,qualification,市场开拓投入,direct_decision,True,50,3,observed_not_rule_verified,blocked_until_rule_confirmed
iso_development,qualification,ISO 认证投入,direct_decision,True,32,2,observed_not_rule_verified,blocked_until_rule_confirmed
short_loan_borrow,finance,取得短期贷款,conditional_decision,True,84,20,observed_not_rule_verified,blocked_until_rule_confirmed
short_loan_repayment,finance,偿还短贷本息（历史合并事件）,committed_settlement,False,66,0,observed_not_rule_verified,blocked_until_rule_confirmed
short_loan_principal_payment,finance,偿还短贷本金,committed_settlement,False,0,16,observed_not_rule_verified,blocked_until_rule_confirmed
short_loan_interest_payment,finance,支付短贷利息,committed_settlement,False,0,16,observed_not_rule_verified,blocked_until_rule_confirmed
long_loan_borrow,finance,取得长期贷款,conditional_decision,True,32,0,observed_not_rule_verified,blocked_until_rule_confirmed
long_loan_repayment,finance,偿还长贷本息,committed_settlement,False,52,0,observed_not_rule_verified,blocked_until_rule_confirmed
receivable_maturity,receivable,应收账款到期更新,automatic_settlement,False,120,10,observed_not_rule_verified,blocked_until_rule_confirmed
receivable_discount,receivable,应收账款贴现,conditional_decision,True,40,4,observed_not_rule_verified,blocked_until_rule_confirmed
advertising,sales,广告投放,direct_decision,True,60,0,observed_not_rule_verified,blocked_until_rule_confirmed
maintenance,period_close,生产线维护费,automatic_settlement,False,62,5,observed_not_rule_verified,blocked_until_rule_confirmed
factory_rent,capacity,租赁厂房,direct_decision,True,21,3,observed_not_rule_verified,blocked_until_rule_confirmed
factory_rent_renewal,capacity,厂房续租,conditional_decision,True,58,5,observed_not_rule_verified,blocked_until_rule_confirmed
factory_purchase,capacity,购买厂房,direct_decision,True,12,0,observed_not_rule_verified,blocked_until_rule_confirmed
factory_rent_to_buy,capacity,厂房租转买,conditional_decision,True,12,4,observed_not_rule_verified,blocked_until_rule_confirmed
factory_buy_to_rent,capacity,厂房买转租,conditional_decision,True,0,1,observed_not_rule_verified,blocked_until_rule_confirmed
order_award,sales,竞单成功取得订单,external_outcome,False,32,0,observed_not_rule_verified,blocked_until_rule_confirmed
order_delivery,sales,按订单交货,conditional_decision,True,6,6,observed_not_rule_verified,blocked_until_rule_confirmed
inventory_product_sale,sales,出售库存产品,conditional_decision,True,2,0,observed_not_rule_verified,blocked_until_rule_confirmed
emergency_material_purchase,procurement,紧急采购原料,exception_intervention,True,6,1,observed_not_rule_verified,blocked_until_rule_confirmed
emergency_product_purchase,procurement,紧急采购产品,exception_intervention,True,5,1,observed_not_rule_verified,blocked_until_rule_confirmed
tax_payment,period_close,支付税金,automatic_settlement,False,20,0,observed_not_rule_verified,blocked_until_rule_confirmed
penalty_payment,risk,支付违约处罚,automatic_settlement,False,2,0,observed_not_rule_verified,blocked_until_rule_confirmed
