source_scope,raw_action,canonical_action,mapping_status
historical,Pay_Capital,capital_injection,explicit_parser_mapping
historical,Pay_Overhaul,administrative_fee,explicit_parser_mapping
historical,Buy_Material,material_order,explicit_parser_mapping
historical,Pay_Material,material_receipt_payment,explicit_parser_mapping
historical,Product_Produce,production,explicit_parser_mapping
historical,Buy_ProductLine,production_line_order,explicit_parser_mapping
historical,Invest_ProductLine,production_line_investment,explicit_parser_mapping
historical,Transfer,production_line_conversion,explicit_parser_mapping
historical,Develop_Product,product_development,explicit_parser_mapping
historical,Develop_Market,market_development,explicit_parser_mapping
historical,Develop_ISO,iso_development,explicit_parser_mapping
historical,Short_Loan,short_loan_borrow,explicit_parser_mapping
historical,Pay_Short_Loan,short_loan_repayment,explicit_parser_mapping
historical,Long_Loan,long_loan_borrow,explicit_parser_mapping
historical,Pay_Long_Loan,long_loan_repayment,explicit_parser_mapping
historical,Update_Receivable,receivable_maturity,explicit_parser_mapping
historical,Discount,receivable_discount,explicit_parser_mapping
historical,Pay_AD,advertising,explicit_parser_mapping
historical,Pay_Maintenance,maintenance,explicit_parser_mapping
historical,Rent_Workshop,factory_rent,explicit_parser_mapping
historical,Renew_Workshop,factory_rent_renewal,explicit_parser_mapping
historical,Buy_Workshop,factory_purchase,explicit_parser_mapping
historical,RentTOBuy_Workshop,factory_rent_to_buy,explicit_parser_mapping
historical,Auction_Win,order_award,explicit_parser_mapping
historical,Sell_Product,order_delivery,explicit_parser_mapping
historical,Sell_Inventory_Product,inventory_product_sale,explicit_parser_mapping
historical,Emergency_Buy_Material,emergency_material_purchase,explicit_parser_mapping
historical,Emergency_Buy_Product,emergency_product_purchase,explicit_parser_mapping
historical,Pay_Tax,tax_payment,explicit_parser_mapping
historical,Pay_Punish,penalty_payment,explicit_parser_mapping
test,管理费,administrative_fee,explicit_parser_mapping
test,申请短贷,short_loan_borrow,explicit_parser_mapping
test,短贷还款,short_loan_principal_payment,explicit_parser_mapping
test,短贷利息,short_loan_interest_payment,explicit_parser_mapping
test,应收账款更新,receivable_maturity,explicit_parser_mapping
test,加工费,production,explicit_parser_mapping
test,更新原料,material_receipt_payment,explicit_parser_mapping
test,维护费,maintenance,explicit_parser_mapping
test,厂房续租,factory_rent_renewal,explicit_parser_mapping
test,厂房租转买,factory_rent_to_buy,explicit_parser_mapping
test,产品研发,product_development,explicit_parser_mapping
test,生产线购买,production_line_order,explicit_parser_mapping
test,市场开拓,market_development,explicit_parser_mapping
test,厂房租赁,factory_rent,explicit_parser_mapping
test,ISO认证,iso_development,explicit_parser_mapping
test,紧急采购原料,emergency_material_purchase,explicit_parser_mapping
test,紧急采购产品,emergency_product_purchase,explicit_parser_mapping
test,厂房买转租,factory_buy_to_rent,explicit_parser_mapping
test_pattern,按订单交货(*),order_delivery,pattern_mapping
test_pattern,贴现*q(面值),receivable_discount,pattern_mapping
